termDisplayName,termDisplayNameNonPreferred,termName,foreName,middleName,surName,initials,salutation,title,nameAdditions,termLanguage,termPrefForLang,termType,termFlag,termQualifier,termSource,termSourceID,termSourceDetail,termSourceNote,termStatus,birthDateGroup,deathDateGroup,birthPlace,deathPlace,group,nationality,gender,occupation,schoolOrStyle,bioNote,nameNote,email,emailType,telephoneNumber,telephoneNumberType,faxNumber,faxNumberType,webAddress,webAddressType,addressType,addressPlace1,addressPlace2,addressMunicipality,addressStateOrProvince,addressPostCode,addressCountry
Misao Fujimoto,,Misao Fujimoto,Misao,,Fujimoto,JM,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book Five,21435,detail text,source text,provisional,1976,,Sydney,London,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,personal,000-555-1276,business,000-555-4609,home,notaURL.atall,personal,home,,,,,,
Chikafusa Nakayama,,Chikafusa Nakayama,Chikafusa,,Nakayama,LF,to,Mr,additions text,Romanian, false,used for term,,qualifier text,Book One,21768,detail text,source text,under review,1984,,Melbourne,Manchester,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1277,home,000-555-4610,other,notaURL.atall,other,other,,,,,,
Maris Oshiro,,Maris Oshiro,Maris,,Oshiro,DK,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Two,22101,detail text,source text,accepted,1972,,South Tarawa,Paris,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1278,mobile,000-555-4611,business,notaURL.atall,business,business,,,,,,
Norihide Mita,,Norihide Mita,Norihide,,Mita,AC,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Three,22434,detail text,source text,rejected,1967,,Betio Village,Lyon,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1279,other,000-555-4612,home,notaURL.atall,personal,home,,,,,,
Rinji Sato,,Rinji Sato,Rinji,,Sato,IH,to,Mr,additions text,Swahili, false,used for term,,qualifier text,Book Four,22767,detail text,source text,provisional,1991,,Lima,New York,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1280,business,000-555-4613,other,notaURL.atall,other,other,,,,,,
Kisa Otsuka,,Kisa Otsuka,Kisa,,Otsuka,AT,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book Five,23100,detail text,source text,under review,1813,1877,Arequipa,Los Angeles,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1281,home,000-555-4614,business,notaURL.atall,business,business,,,,,,
Akuro Ashikaga,,Akuro Ashikaga,Akuro,,Ashikaga,JW,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book One,23433,detail text,source text,accepted,1773,1810,Santiago,San Jose,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1282,mobile,000-555-4615,home,notaURL.atall,personal,home,,,,,,
Ogi Kido,,Ogi Kido,Ogi,,Kido,RI,to,Ms,additions text,Yoruba, false,used for term,,qualifier text,Book Two,23766,detail text,source text,rejected,1945,,Puente Alto,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1283,other,000-555-4616,other,notaURL.atall,other,other,,,,,,
Orime Takata,,Orime Takata,Orime,,Takata,JM,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Three,24099,detail text,source text,provisional,1969,,Algiers,Sydney,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1284,business,000-555-4617,business,notaURL.atall,business,business,,,,,,
Utako Kita,,Utako Kita,Utako,,Kita,JM,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book Four,24432,detail text,source text,under review,ca. 1928,,Oran,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1285,home,000-555-4618,home,notaURL.atall,personal,home,,,,,,
Kaeda Fuse,,Kaeda Fuse,Kaeda,,Fuse,LF,to,Ms,additions text,Armenian, false,used for term,,qualifier text,Book Five,24765,detail text,source text,accepted,1960,,Pretoria,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1286,mobile,000-555-4619,other,notaURL.atall,other,other,,,,,,
Koi Morishige,,Koi Morishige,Koi,,Morishige,DK,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book One,25098,detail text,source text,rejected,1665,1695,Johannesburg,Betio Village,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1287,other,000-555-4620,business,notaURL.atall,business,business,,,,,,
Aoi Asato,,Aoi Asato,Aoi,,Asato,AC,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book Two,25431,detail text,source text,provisional,1853,1902,Beijing,Lima,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1288,business,000-555-4621,home,notaURL.atall,personal,home,,,,,,
Yura Shimabukuro,,Yura Shimabukuro,Yura,,Shimabukuro,IH,to,Ms,additions text,French, false,used for term,,qualifier text,Book Three,25764,detail text,source text,under review,1968,,Shanghai,Arequipa,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,other,000-555-1289,home,000-555-4622,other,notaURL.atall,other,other,,,,,,
Kofuyu Nakama,,Kofuyu Nakama,Kofuyu,,Nakama,AT,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book Four,26097,detail text,source text,accepted,1900,1986,Jerusalem,Santiago,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1290,mobile,000-555-4623,business,notaURL.atall,business,business,,,,,,
Mamoon Alam,,Mamoon Alam,Mamoon,,Alam,JW,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book Five,26430,detail text,source text,rejected,1957,,Tel Aviv,Puente Alto,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1291,other,000-555-4624,home,notaURL.atall,personal,home,,,,,,
Nadeem Farhat,,Nadeem Farhat,Nadeem,,Farhat,RI,to,Mr,additions text,Indonesian, false,used for term,,qualifier text,Book One,26763,detail text,source text,provisional,1895,1963,London,Algiers,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1292,business,000-555-4625,other,notaURL.atall,other,other,,,,,,
Taaj Javed,,Taaj Javed,Taaj,,Javed,JM,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book Two,27096,detail text,source text,under review,1920,1999,Manchester,Oran,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1293,home,000-555-4626,business,notaURL.atall,business,business,,,,,,
Mundhir Karim,,Mundhir Karim,Mundhir,,Karim,JM,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book Three,27429,detail text,source text,accepted,1924,,Paris,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1294,mobile,000-555-4627,home,notaURL.atall,personal,home,,,,,,
Abdul Maalik Sesay,,Abdul Maalik Sesay,Abdul,,Maalik Sesay,LF,to,Mr,additions text,Korean, false,used for term,,qualifier text,Book Four,27762,detail text,source text,rejected,1826,1873,Lyon,Johannesburg,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1295,other,000-555-4628,other,notaURL.atall,other,other,,,,,,
Haashim Hammad,,Haashim Hammad,Haashim,,Hammad,DK,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book Five,28095,detail text,source text,provisional,1830,1858,New York,Tel Aviv,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1296,business,000-555-4629,business,notaURL.atall,business,business,,,,,,
Arshad Edris,,Arshad Edris,Arshad,,Edris,AC,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book One,28428,detail text,source text,under review,ca. 1886,1921,Los Angeles,London,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1297,home,000-555-4630,home,notaURL.atall,personal,home,,,,,,
Shaamikh Safar,,Shaamikh Safar,Shaamikh,,Safar,IH,to,Mr,additions text,Middle English, false,used for term,,qualifier text,Book Two,28761,detail text,source text,accepted,1880,unknown,San Jose,Manchester,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1298,mobile,000-555-4631,other,notaURL.atall,other,other,,,,,,
Basheet Pashia,,Basheet Pashia,Basheet,,Pashia,AT,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book Three,29094,detail text,source text,rejected,1954,,Puerto Limon,Paris,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1299,other,000-555-4632,business,notaURL.atall,business,business,,,,,,
Kaamil Mir,,Kaamil Mir,Kaamil,,Mir,JW,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book Four,29427,detail text,source text,provisional,1940,,Sydney,Lyon,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1300,business,000-555-4633,home,notaURL.atall,personal,home,,,,,,
Ghaaliya Basher,,Ghaaliya Basher,Ghaaliya,,Basher,RI,to,Mr,additions text,Romanian, false,used for term,,qualifier text,Book Five,29760,detail text,source text,under review,1964,,Melbourne,New York,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1301,home,000-555-4634,other,notaURL.atall,other,other,,,,,,
Hilmiyya Siddiqi,,Hilmiyya Siddiqi,Hilmiyya,,Siddiqi,JM,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book One,30093,detail text,source text,accepted,1932,,South Tarawa,Los Angeles,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1302,mobile,000-555-4635,business,notaURL.atall,business,business,,,,,,
Hilmiyya Shafi,,Hilmiyya Shafi,Hilmiyya,,Shafi,JM,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book Two,30426,detail text,source text,rejected,1786,1840,Betio Village,San Jose,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1303,other,000-555-4636,home,notaURL.atall,personal,home,,,,,,
Hakeema Yousif,,Hakeema Yousif,Hakeema,,Yousif,LF,to,Ms,additions text,Swahili, false,used for term,,qualifier text,Book Three,30759,detail text,source text,provisional,ca. 420 BCE,ca. 390 BCE,Lima,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1304,business,000-555-4637,other,notaURL.atall,other,other,,,,,,
Masroora Khan,,Masroora Khan,Masroora,,Khan,DK,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book Four,31092,detail text,source text,under review,1786,1840,Arequipa,Sydney,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1305,home,000-555-4638,business,notaURL.atall,business,business,,,,,,
Shaafia Baddour,,Shaafia Baddour,Shaafia,,Baddour,AC,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book Five,31425,detail text,source text,accepted,1954,,Santiago,Melbourne,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1306,mobile,000-555-4639,home,notaURL.atall,personal,home,,,,,,
Aliyya Azzi,,Aliyya Azzi,Aliyya,,Azzi,IH,to,Ms,additions text,Yoruba, false,used for term,,qualifier text,Book One,31758,detail text,source text,rejected,1886,1948,Puente Alto,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1307,other,000-555-4640,other,notaURL.atall,other,other,,,,,,
Mu'mina Doud,,Mu'mina Doud,Mu'mina,,Doud,AT,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book Two,32091,detail text,source text,provisional,1858,1929,Algiers,Betio Village,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1308,business,000-555-4641,business,notaURL.atall,business,business,,,,,,
Najiyya Khan,,Najiyya Khan,Najiyya,,Khan,JW,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book Three,32424,detail text,source text,under review,1892,1963,Oran,Lima,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,personal,000-555-1309,home,000-555-4642,home,notaURL.atall,personal,home,,,,,,
Ghaada Sabet,,Ghaada Sabet,Ghaada,,Sabet,RI,to,Ms,additions text,Armenian, false,used for term,,qualifier text,Book Four,32757,detail text,source text,accepted,1903,1991,Pretoria,Arequipa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1310,mobile,000-555-4643,other,notaURL.atall,other,other,,,,,,
Maui Kiele,,Maui Kiele,Maui,,Kiele,JM,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book Five,33090,detail text,source text,rejected,1889,unknown,Johannesburg,Santiago,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1311,other,000-555-4644,business,notaURL.atall,business,business,,,,,,
Kanoa Kekai,,Kanoa Kekai,Kanoa,,Kekai,JM,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book One,33423,detail text,source text,provisional,1922,1988,Beijing,Puente Alto,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,personal,000-555-1312,business,000-555-4645,home,notaURL.atall,personal,home,,,,,,
Kaha'I Akina,,Kaha'I Akina,Kaha'I,,Akina,LF,to,Mr,additions text,French, false,used for term,,qualifier text,Book Two,33756,detail text,source text,under review,1780,1846,Shanghai,Algiers,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1313,home,000-555-4646,other,notaURL.atall,other,other,,,,,,
Kahue Napua,,Kahue Napua,Kahue,,Napua,DK,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book Three,34089,detail text,source text,accepted,1957,,Jerusalem,Oran,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1314,mobile,000-555-4647,business,notaURL.atall,business,business,,,,,,
Ailana Naile,,Ailana Naile,Ailana,,Naile,AC,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book Four,34422,detail text,source text,rejected,1955,,Tel Aviv,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1315,other,000-555-4648,home,notaURL.atall,personal,home,,,,,,
Kainehe Kimo,,Kainehe Kimo,Kainehe,,Kimo,IH,to,Mr,additions text,Indonesian, false,used for term,,qualifier text,Book Five,34755,detail text,source text,provisional,1914,2004,London,Johannesburg,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1316,business,000-555-4649,other,notaURL.atall,other,other,,,,,,
Inoke Aloha,,Inoke Aloha,Inoke,,Aloha,AT,dear,Dr,additions text,Italian, true,descriptor,,qualifier text,Book One,35088,detail text,source text,under review,1905,1959,Manchester,Tel Aviv,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1317,home,000-555-4650,business,notaURL.atall,business,business,,,,,,
Kapena Kalei,,Kapena Kalei,Kapena,,Kalei,JW,hello,Professor,additions text,Japanese, true,alternate descriptor,,qualifier text,Book Two,35421,detail text,source text,accepted,1967,,Paris,London,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1318,mobile,000-555-4651,home,notaURL.atall,personal,home,,,,,,
Hiehie Kekoa,,Hiehie Kekoa,Hiehie,,Kekoa,RI,to,Mr,additions text,Korean, false,used for term,,qualifier text,Book Three,35754,detail text,source text,rejected,1930,,Lyon,Manchester,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1319,other,000-555-4652,other,notaURL.atall,other,other,,,,,,
Keona Moanna,,Keona Moanna,Keona,,Moanna,JM,dear,Dr,additions text,Latin, true,descriptor,,qualifier text,Book Four,36087,detail text,source text,provisional,1881,1929,New York,Paris,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1320,business,000-555-4653,business,notaURL.atall,business,business,,,,,,
Ke'alohi Iokua,,Ke'alohi Iokua,Ke'alohi,,Iokua,JM,hello,Professor,additions text,Malaysian, true,alternate descriptor,,qualifier text,Book Five,36420,detail text,source text,under review,1875,1954,Los Angeles,Lyon,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1321,home,000-555-4654,home,notaURL.atall,personal,home,,,,,,
Kielekea Pukahi,,Kielekea Pukahi,Kielekea,,Pukahi,LF,to,Ms,additions text,Middle English, false,used for term,,qualifier text,Book One,36753,detail text,source text,accepted,1922,,San Jose,New York,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1322,mobile,000-555-4655,other,notaURL.atall,other,other,,,,,,
Kainu'u Keawe,,Kainu'u Keawe,Kainu'u,,Keawe,DK,dear,Dr,additions text,Old English, true,descriptor,,qualifier text,Book Two,37086,detail text,source text,rejected,1716,1800,Puerto Limon,Los Angeles,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1323,other,000-555-4656,business,notaURL.atall,business,business,,,,,,
Ho'opa'a Pi,,Ho'opa'a Pi,Ho'opa'a,,Pi,AC,hello,Professor,additions text,Portuguese, true,alternate descriptor,,qualifier text,Book Three,37419,detail text,source text,provisional,1545,1603,Sydney,San Jose,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1324,business,000-555-4657,home,notaURL.atall,personal,home,,,,,,
Olina Pane'e,,Olina Pane'e,Olina,,Pane'e,IH,to,Ms,additions text,Romanian, false,used for term,,qualifier text,Book Four,37752,detail text,source text,under review,1950,,Melbourne,Puerto Limon,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1325,home,000-555-4658,other,notaURL.atall,other,other,,,,,,
Mapuana Keola,,Mapuana Keola,Mapuana,,Keola,AT,dear,Dr,additions text,Russian, true,descriptor,,qualifier text,Book Five,38085,detail text,source text,accepted,1735,unknown,South Tarawa,Sydney,group text,,female,occupation text,school text,,name note text,email@address,business,000-555-1326,mobile,000-555-4659,business,notaURL.atall,business,business,,,,,,
Hemolele Keala,,Hemolele Keala,Hemolele,,Keala,JW,hello,Professor,additions text,Spanish, true,alternate descriptor,,qualifier text,Book One,38418,detail text,source text,rejected,1791,1798,Betio Village,Melbourne,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,personal,000-555-1327,other,000-555-4660,home,notaURL.atall,personal,home,,,,,,
Nai'a Aikau,,Nai'a Aikau,Nai'a,,Aikau,RI,to,Ms,additions text,Swahili, false,used for term,,qualifier text,Book Two,38751,detail text,source text,provisional,1894,1961,Lima,South Tarawa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1328,business,000-555-4661,other,notaURL.atall,other,other,,,,,,
Kaihalulu Kalei,,Kaihalulu Kalei,Kaihalulu,,Kalei,JM,dear,Dr,additions text,Swedish, true,descriptor,,qualifier text,Book Three,39084,detail text,source text,under review,1929,,Arequipa,Betio Village,group text,,female,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1329,home,000-555-4662,business,notaURL.atall,business,business,,,,,,
Kahanu Luahoomae,,Kahanu Luahoomae,Kahanu,,Luahoomae,JM,hello,Professor,additions text,Tagalog, true,alternate descriptor,,qualifier text,Book Four,39417,detail text,source text,accepted,1813,1877,Santiago,Lima,group text,,female,occupation text,school text,,name note text,email@address,personal,000-555-1330,mobile,000-555-4663,home,notaURL.atall,personal,home,,,,,,
Taras Panfilov,,Taras Panfilov,Taras,,Panfilov,LF,to,Ms,additions text,Yoruba, false,used for term,,qualifier text,Book Five,39750,detail text,source text,rejected,1773,1810,Puente Alto,Arequipa,group text,,female,occupation text,school text,,name note text,email@address,other,000-555-1331,other,000-555-4664,other,notaURL.atall,other,other,,,,,,
Yakov Kostin,,Yakov Kostin,Yakov,,Kostin,DK,dear,Dr,additions text,Ancient Greek, true,descriptor,,qualifier text,Book One,40083,detail text,source text,provisional,1945,,Algiers,Santiago,group text,Russian,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,business,000-555-1332,business,000-555-4665,business,notaURL.atall,business,business,,,,,,
Ioakim Rasputin,,Ioakim Rasputin,Ioakim,,Rasputin,AC,hello,Professor,additions text,Arabic, true,alternate descriptor,,qualifier text,Book Two,40416,detail text,source text,under review,1969,,Oran,Puente Alto,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1333,home,000-555-4666,home,notaURL.atall,personal,home,,,,,,
Milomir Vavilov,,Milomir Vavilov,Milomir,,Vavilov,IH,to,Mr,additions text,Armenian, false,used for term,,qualifier text,Book Three,40749,detail text,source text,accepted,ca. 1928,,Pretoria,Algiers,group text,Russian,male,occupation text,school text,,name note text,email@address,other,000-555-1334,mobile,000-555-4667,other,notaURL.atall,other,other,,,,,,
Iosif Pyatosin,,Iosif Pyatosin,Iosif,,Pyatosin,AT,dear,Dr,additions text,Chinese, true,descriptor,,qualifier text,Book Four,41082,detail text,source text,rejected,1960,,Johannesburg,Oran,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1335,other,000-555-4668,business,notaURL.atall,business,business,,,,,,
Lubomir Unkovsky,,Lubomir Unkovsky,Lubomir,,Unkovsky,JW,hello,Professor,additions text,English, true,alternate descriptor,,qualifier text,Book Five,41415,detail text,source text,provisional,1665,1695,Beijing,Pretoria,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1336,business,000-555-4669,home,notaURL.atall,personal,home,,,,,,
Maksimilan Bogatyryov,,Maksimilan Bogatyryov,Maksimilan,,Bogatyryov,RI,to,Mr,additions text,French, false,used for term,,qualifier text,Book One,41748,detail text,source text,under review,1853,1902,Shanghai,Johannesburg,group text,,male,occupation text,school text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Purus in massa tempor nec feugiat. Morbi tincidunt ornare massa eget egestas purus. Nibh sit amet commodo nulla. Cursus sit amet dictum sit. Ultrices dui sapien eget mi. Amet facilisis magna etiam tempor orci eu lobortis elementum nibh. Nulla posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Netus et malesuada fames ac turpis egestas sed tempus. Iaculis eu non diam phasellus vestibulum lorem sed risus.",name note text,email@address,other,000-555-1337,home,000-555-4670,other,notaURL.atall,other,other,,,,,,
Artur Furmanov,,Artur Furmanov,Artur,,Furmanov,JM,dear,Dr,additions text,German, true,descriptor,,qualifier text,Book Two,42081,detail text,source text,accepted,1968,,Jerusalem,Tel Aviv,group text,,male,occupation text,school text,,name note text,email@address,business,000-555-1338,mobile,000-555-4671,business,notaURL.atall,business,business,,,,,,
Ivan Perfilyev,,Ivan Perfilyev,Ivan,,Perfilyev,JM,hello,Professor,additions text,Hebrew, true,alternate descriptor,,qualifier text,Book Three,42414,detail text,source text,rejected,1900,1986,Tel Aviv,London,group text,,male,occupation text,school text,,name note text,email@address,personal,000-555-1339,other,000-555-4672,home,notaURL.atall,personal,home,,,,,,
Igor Avandeyev,,Igor Avandeyev,Igor,,Avandeyev,LF,to,Mr,additions text,Indonesian, false,used for term,,qualifier text,Book Four,42747,detail text,source text,provisional,1957,,London,Manchester,group text,,male,occupation text,school text,,name note text,email@address,other,000-555-1340,business,000-555-4673,other,notaURL.atall,other,other,,,,,,
